TAG DATABASE: PHYSICAL & APPEARANCE
========================================
Total tags: 4354
Categories: 16
Last updated: 2026-02-26

================================================================================
SPECIES & BODY TYPE
================================================================================
african_wild_dog | An African wild dog species, painted coat in black, tan, and white patches. | species:canid
foal | A young horse foal character, the juvenile form with long thin legs. | species:equid
fox | A fox species character, slender canine with a bushy tail and pointed muzzle. | species:canid
fox_boy | A male humanoid character with fox ears and tail, otherwise human in shape. | species:canid
fox_girl | A female humanoid character with fox ears and tail, otherwise human in shape. | species:canid
frog | A frog species character, smooth wet skin and powerful jumping legs the defining anatomy. | species:amphibian
fungus_creature | A sentient mushroom or fungal character, caps, stalks, or spore bodies replacing normal anatomy. | species:other
furry | An anthropomorphic animal character drawn specifically within the furry fandom aesthetic. | species:other
gazelle | A graceful gazelle antelope species, slender legs and curved horns marking the species. | species:bovid
gecko | A gecko species character, small lizard with adhesive toe pads for climbing walls. | species:reptile
gerbil | A small desert gerbil rodent species, long-tailed pet rodent native to arid regions. | species:rodent
german_shepherd | A German Shepherd breed canine, tan-and-black coat and pointed ears the breed markers. | species:canid
ghost | An incorporeal spectral character, see-through, floating, and tethered to the living world. | species:mythical
giant_otter | A large South American giant otter, the biggest otter species with sleek brown coat. | species:mustelid
giraffe | A long-necked African ungulate with dappled ochre coat, towering and graceful. | species:other
goat | A goat species character, cloven hooves and curved horns above a bearded chin. | species:bovid
golden_retriever | A Golden Retriever dog breed, golden long-haired coat the breed marker. | species:canid
golem | A magically animated construct character, formed from stone, clay, metal, or similar inanimate material. | species:other
gorilla | A large ground-dwelling gorilla ape, the largest living primate with massive build. | species:primate
great_dane | A very large short-haired dog breed, long-legged and dignified despite the scale. | species:other
great_white | A great white shark species character, the apex predator shark with massive jaws. | species:fish
grey_fox | A grey fox species, the tree-climbing fox with grey coat distinct from red foxes. | species:canid
grey_wolf | A grey wolf subspecies character, the standard wolf with grey-brown coat. | species:canid
griffin | A hybrid creature with eagle front and lion rear, classical heraldic beast. | species:mythical
grizzly_bear | A North American grizzly brown bear species, large mammal with the distinctive shoulder hump. | species:ursid
gryphon | A hybrid creature with eagle front and lion rear, alternate spelling of griffin. | species:mythical
guinea_pig | A guinea pig cavy rodent species, stocky tailless rodent kept as pet. | species:rodent
hammerhead | A hammerhead shark species character, distinctive flat T-shaped head the marker. | species:fish
hamster | A small round hamster rodent species, cheek-pouched short-tailed pet rodent. | species:rodent
harpy | A bird-woman hybrid with human head and chest, avian wings, legs, and talons. | species:mythical
hatchling | A newly hatched young of a reptile or bird species, still small with softer features. | species:other
hawk | A hawk species character, smaller raptor with sharp beak and broad wings. | species:avian
hedgehog | A small spined mammal with a belly that curls inward when threatened. | species:other
hellcat | A demonic or infernal feline species, fire-eyed and often flame-breathing. | species:other
hellhound | A demonic or infernal canine species, black-coated with burning eyes and sometimes fire breath. | species:other
hippo | A large semi-aquatic African ungulate with a massive jaw and smooth grey-purple skin. | species:other
hippogriff | A mythological hybrid with eagle front and horse rear, rare and noble beast. | species:mythical
honey_badger | An aggressive honey badger species, fearless mustelid known for taking on much larger predators. | species:mustelid
horse | A horse species character, the standard equine with mane, tail, and hooves. | species:equid
huldra | A Scandinavian forest spirit appearing as a beautiful woman with a cow's tail or hollow back. | species:other
humpback | A humpback whale species, distinguished by long pectoral fins and characteristic breaching. | species:other
husky | A husky breed canine character, thick double coat and pale eyes the breed markers. | species:canid
hybrid | A cross-species hybrid character, blended features from two or more species in one body. | species:other
hydra | A multi-headed serpent creature, classical mythology's many-headed swamp beast. | species:mythical
hyena | A hyena species character, powerful-jawed scavenger-predator with sloping spine and laughing call. | species:other
hyena_cub | A young hyena character, the juvenile form of the species with softer features. | species:other
ibex | A wild mountain goat species with heavily curved ridged horns, sure-footed and alpine. | species:other
iguana | A large herbivorous iguana lizard species, distinctive dewlap and dorsal spine ridge. | species:reptile
imp | A small mischievous demon, often winged, horned, and pointy-tailed, infernal but minor. | species:other
incubus | A male demon that seduces and feeds on sexual energy from sleeping partners. | species:mythical
insect | An insect-class character, six-legged invertebrate with three body segments. | species:insect
jackal | A jackal species character, mid-sized canine related to wolves and coyotes. | species:canid
jaguar | A jaguar species character, large rosetted big cat of the Americas. | species:felid
jellyfish | A gelatinous ocean creature with trailing stinging tentacles, translucent and drifting. | species:other
kangaroo | A large hopping marsupial with powerful hind legs, muscular tail, and a pouch for young. | species:other
kelpie | A water horse from Celtic folklore, shapeshifting beast that lures travellers to drowning. | species:other
kemonomimi | A human character with only animal ears and tail, otherwise fully human in form. | species:other
khajiit | The cat-folk race from The Elder Scrolls universe, agile and desert-travelling merchants. | species:other
king_cobra | A large venomous king cobra snake species, the longest venomous snake in the world. | species:reptile
kinkajou | A tropical procyonid with prehensile tail, big round eyes, and a love of fruit and honey. | species:other
kit_fox | A small desert kit fox species, the smallest North American fox with large ears. | species:canid
kitsune | A Japanese fox spirit with multiple tails, shapeshifter and magical creature. | species:mythical
kitten | A young cat kitten character, the juvenile form with oversized eyes and soft fur. | species:felid
koala | An Australian tree-dwelling marsupial with round ears, soft grey fur, and a eucalyptus-only diet. | species:other
kobold | A fantasy reptilian species, small and scaly, often draconic-adjacent and pack-oriented. | species:other
koi | A koi ornamental carp species, brightly-coloured Japanese pond fish. | species:fish
komodo_dragon | A large real-world monitor lizard species, venomous and prehistoric-looking apex reptile predator. | species:mythical
kraken | A giant octopus or squid sea monster, vessel-destroying myth from sailor folklore. | species:mythical
labrador | A Labrador Retriever dog breed, sturdy build and short dense coat in yellow, chocolate, or black. | species:other
lagomorph | A lagomorph character of the rabbit and hare family, long-eared herbivores. | species:lagomorph
lemur | A lemur primate species from Madagascar, distinctive long ringed tail on most species. | species:primate
leopard | A leopard species character, rosetted big cat of Africa and Asia. | species:felid
leviathan | A massive sea creature of biblical and mythological framing, ocean-sized beast. | species:mythical
lion | A lion species character, mane on males the defining marker of the savanna big cat. | species:felid
lioness | A female lion character, sleeker and more active-coded than her maned male counterpart. | species:other
lizard | A lizard species character, scaled four-legged reptile with a long tail. | species:reptile
llama | A South American camelid, long-necked and shaggy-coated, used as pack and fleece animal. | species:other
lobster | A large crustacean lobster species, segmented marine arthropod with prominent claws. | species:insect
lynx | A lynx species character, mid-sized wild cat with tufted ears and short tail. | species:felid
maine_coon | A large long-haired cat breed with tufted ears, distinctive ruff, and bushy tail. | species:other
malamute | An Alaskan Malamute dog breed, large thick-coated sled dog from the Arctic. | species:canid
mammoth | A prehistoric elephant species with massive curved tusks and shaggy long fur. | species:other
mandrill | A colourful-faced mandrill primate, brilliant red and blue facial markings the species marker. | species:primate
maned_wolf | A long-legged South American maned wolf, distinctive stilted gait and red-orange coat. | species:canid
manticore | A lion with scorpion tail and sometimes wings, Persian mythological predator. | species:mythical
mare | A female horse mare character, the feminine adult form of the equine species. | species:equid
meerkat | A small social burrowing mongoose species, often standing upright on watch. | species:other
merfolk | A humanoid with fish lower body and human upper body, merman or mermaid species. | species:mythical
mink | A mink species character, semi-aquatic mustelid with dense water-resistant fur. | species:mustelid
minotaur | A bull-headed humanoid from Greek mythology, maze-dwelling and powerful. | species:mythical
mongoose | A small predatory carnivore known for killing snakes, slender-bodied and quick. | species:other
monkey | A monkey primate species, the broad group of tailed primates distinct from apes. | species:primate
moose | A large moose deer species, massive flat-antlered cervine with a long muzzle. | species:cervid
moth | A moth species character, nocturnal furry-bodied flying insect with dust-scaled wings. | species:insect
mountain_lion | A mountain lion or puma species, large solitary big cat of the Americas. | species:felid
mouse | A mouse species character, small rodent with large ears and a long thin tail. | species:rodent
mule | A horse-donkey hybrid mule, sterile cross between the two equine species. | species:equid
mustelid | A mustelid character of the weasel family, slender carnivorous mammals. | species:mustelid
naga | A humanoid with serpent lower body and human upper body, South Asian mythological being. | species:mythical
narwhal | A tusked Arctic narwhal whale species, the unicorn-tusk the species marker. | species:marine
ocelot | A small ocelot wild cat species, distinctive rosette pattern over a tawny coat. | species:felid
octopus | An eight-armed cephalopod with a bulbous head, suckered tentacles, and chromatophore skin. | species:other
opossum | A North American marsupial with naked prehensile tail, famous for playing dead when threatened. | species:other
orangutan | A red-haired arboreal orangutan ape, distinctive shaggy red coat the species marker. | species:primate
orca | A killer whale orca species, large black-and-white apex predator dolphin. | species:marine
otter | An otter species character, playful aquatic mustelid with webbed feet and dense fur. | species:mustelid
ovine | A species in the sheep family, woolly and horned depending on breed. | species:other
owl | An owl species character, round-faced nocturnal raptor with silent wing feathers. | species:avian
ox | An ox or castrated bull character, heavy draft animal with broad shoulders. | species:bovid
panda | A panda species character, the iconic black-and-white Chinese bear bamboo-eater. | species:ursid
pangolin | A scaled mammal covered in overlapping keratin plates, anteater-shaped but armoured. | species:other
panther | A panther species character, the colloquial name for any large dark big cat. | species:felid
parrot | A parrot species character, brightly-coloured tropical bird with a hooked beak and gripping feet. | species:avian
peacock | A peacock species character, typically emphasising the iridescent fan tail as display. | species:other
pegasus | A winged horse from classical Greek mythology, the flying equine mount of the heroes. | species:mythical
persian | A Persian cat breed, long luxurious fur and a flat-pushed face the breed markers. | species:felid
phoenix | A mythological firebird that cyclically burns and is reborn from its ashes. | species:mythical
pig | A pig species character, domestic or wild variant depending on framing. | species:other
pine_marten | A European pine marten species, arboreal mustelid with chocolate-brown fur and pale throat. | species:mustelid
pit_bull | A pit bull breed canine character, broad jaw and muscular build the breed marker. | species:bovid
pixie | A small mischievous fairy-like creature, tiny and typically winged. | species:mythical
plant_creature | A sentient plant-based character, flora rather than fauna, roots and leaves replacing flesh. | species:other
platypus | An egg-laying Australian mammal with duck bill, beaver tail, and venomous spurs on the males. | species:other
poison_dart_frog | A brightly-coloured tropical poison dart frog species, vivid skin warning of the toxin in it. | species:amphibian
polar_bear | An Arctic polar bear species, white-furred ice-dwelling apex predator bear. | species:ursid
poodle | A poodle dog breed, curly thick coat often groomed into elaborate styles. | species:canid
porcine | A member of the pig family, formal taxonomy term for pig-derived anthros. | species:other
porcupine | A porcupine species character, distinctive defensive quills covering the back and tail. | species:rodent
possum | An Australian marsupial species or a casual term for North American opossum. | species:other
prairie_dog | A prairie dog burrowing rodent species, social colonial ground dweller. | species:canid
protogen | An original furry species with a glowing visor-style face and partly mechanical body. | species:other
pterodactyl | A flying reptile from the age of dinosaurs, leathery wings on elongated fourth fingers. | species:other
puma | A puma mountain lion or cougar species, large solitary big cat of the Americas. | species:felid
puppy | A young dog character, the juvenile form with softer proportions and puppy-coat fur. | species:other
python | A constricting python snake species, large non-venomous reptile that suffocates prey. | species:reptile
rabbit | A rabbit species character, long-eared lagomorph with powerful hind legs. | species:lagomorph
raccoon | A procyonid with black facial mask and ringed tail, dexterous hands and nocturnal by nature. | species:other
raccoon_dog | A raccoon dog or tanuki species, canine with raccoon-like facial mask. | species:canid
ram | A male sheep ram character, curling horns spiralling from a heavy-set head. | species:bovid
ram_bighorn | A bighorn sheep ram character, massive curled horns the species marker. | species:bovid
raptor | A raptor or dromaeosaur dinosaur, fast and sickle-clawed, often feathered in modern depiction. | species:other
rat | A rat species character, larger relative of the mouse with a long scaled tail. | species:rodent
raven | A raven species character, large black corvid with a heavy beak and harsh croak. | species:avian
red_deer | A European red deer species, large antlered deer of European forests. | species:cervid
red_fox | A red fox subspecies character, the classic orange-red coated fox with white-tipped tail. | species:canid
red_panda | A red panda species character, small russet arboreal mammal not actually related to true pandas. | species:ursid
reindeer | A reindeer or caribou species character, antlered Arctic deer often associated with winter. | species:cervid
reptile | A reptile-class character, the cold-blooded class of snakes, lizards, and turtles. | species:reptile
rhino | A rhinoceros species, heavy-bodied with thick grey skin and a horned or double-horned snout. | species:other
river_otter | A freshwater river otter species, the inland otter variant adapted to streams and lakes. | species:mustelid
rodent | A rodent character of the broader gnawing-incisor mammal family. | species:rodent
rottweiler | A Rottweiler dog breed, large black-and-tan guard dog with stocky build. | species:canid
sabertooth | A saber-toothed cat species, prehistoric extinct big cat with massive elongated upper canines. | species:felid
sable | A sable mustelid species, dark-furred Russian marten prized for its luxurious pelt. | species:mustelid
salamander | A salamander species character, slender amphibian with a long tail and damp skin. | species:amphibian
satyr | A mythological creature with human upper body and goat lower body, horned and lustful. | species:mythical
scalie | A scalie character in the furry fandom, the scaled reptilian counterpart to furred anthros. | species:reptile
sea_dragon | A dragon adapted for aquatic life, serpentine and fin-tailed. | species:mythical
sea_otter | A marine sea otter species, the only otter that spends its life almost entirely in saltwater. | species:mustelid
seahorse | An equine-shaped fish species, vertically swimming with prehensile tail and male brood pouch. | species:other
seal | A seal species character, marine mammal with flippers adapted for swimming. | species:marine
selkie | A seal shapeshifter from Scottish folklore, human on land and seal in water via a removable skin. | species:other
sergal | An original furry species with a wedge-shaped head and lean predatory canine-avian features. | species:other
serpent | A serpent or snake species character, the legless reptilian form. | species:reptile
serval | An African serval wild cat species, tall lanky cat with oversized ears. | species:felid
shark | A shark species character, cartilaginous predator fish with rows of sharp teeth. | species:fish
sheep | A sheep species character, woolly fleece coating a stocky four-legged body. | species:bovid
siamese | A Siamese cat breed, distinctive cream body with darker points on face, ears, paws, and tail. | species:felid
silver_fox | A silver-phase red fox character, the dark-coated colour-morph of the red fox. | species:canid
skinwalker | A shapeshifting creature from Native American folklore, cursed to wear animal skins. | species:other
skunk | A black-and-white striped mustelid famous for its sulphurous defensive spray. | species:other
slime | An amorphous slime or gel creature, body shifting and flowing rather than fixed. | species:other
sloth | A slow-moving tree-dwelling mammal, long-clawed and algae-tinted from living upside-down. | species:other
snake | A snake species character, legless scaled reptile with a forked tongue. | species:reptile
snow_leopard | A snow leopard species character, thick-furred mountain big cat with a long bushy tail. | species:felid
spectacled_bear | A South American spectacled bear species, the only bear native to South America. | species:ursid
sphinx | A lion-bodied creature with human head, Egyptian or Greek mythological guardian. | species:mythical
sphynx_cat | A hairless Sphynx cat breed, wrinkled skin and large ears the breed markers. | species:felid
spider | A spider species character, eight-legged arachnid with venomous fangs and silk-spinning anatomy. | species:insect
spotted_hyena | The laughing hyena subspecies, matriarchal and spotted-coated African scavenger-predator. | species:other
squid | A ten-armed cephalopod with torpedo body, two long feeding tentacles among its arms. | species:other
squirrel | A squirrel species character, bushy-tailed climbing rodent often arboreal. | species:rodent
stag | A male deer stag character, the antlered masculine version of the cervine species. | species:cervid
stallion | A male horse stallion character, the uncastrated masculine form of the equine species. | species:equid
starfish | A sea star species with five or more radial arms and no central face. | species:other
stingray | A flat cartilaginous stingray fish species, distinctive barbed tail the threat. | species:fish
stoat | A small predatory stoat mustelid, brown summer coat turning white in winter. | species:mustelid
striped_hyena | The smaller striped hyena subspecies, banded coat and long mane along the back. | species:other
succubus | A female demon that seduces and feeds on sexual energy, incubus counterpart. | species:mythical
sun_bear | A small Southeast Asian sun bear species, the smallest bear with distinctive chest patch. | species:ursid
swift_fox | A small North American swift fox species, prairie-dwelling and quick. | species:canid
t_rex | Tyrannosaurus Rex dinosaur, massive-headed apex predator with tiny forelimbs. | species:other
tabby | A tabby-patterned cat character, the classic striped or marbled coat pattern. | species:felid
tanuki | A Japanese raccoon-dog spirit, shapeshifter with famously oversized magical testicles in folklore. | species:other
tapir | An odd-toed ungulate with a short prehensile trunk and piglike body. | species:other
tasmanian_devil | A carnivorous Australian marsupial, stocky black-furred scavenger with a bone-crushing bite. | species:other
theropod | A theropod dinosaur, the bipedal carnivore classification that includes T. rex and raptors. | species:other
thunderbird | A giant storm bird from Native American mythology, wingbeats said to be thunder. | species:other
tiger | A tiger species character, the largest big cat with bold orange-and-black stripes. | species:felid
tigress | A female tiger character, striped and powerful in feminine framing. | species:other
timber_wolf | A large North American timber wolf subspecies, the Eastern grey wolf variant. | species:canid
turtle | A turtle or tortoise species character, shelled reptile with retractable head and limbs. | species:reptile
tuxedo_cat | A tuxedo cat character, distinctive black-and-white coat resembling formal wear. | species:felid
unicorn | A horse with a single spiralling horn on the forehead, classical fantasy creature. | species:mythical
ursine | An ursine character of the bear family, large powerful omnivorous mammals. | species:ursid
vampire | An undead blood-drinking character, fanged and typically pale, sensitive to sunlight. | species:mythical
velociraptor | A small feathered raptor dinosaur, sickle-clawed and swift, smaller than pop culture usually shows. | species:other
viper | A venomous viper snake species, distinctive triangular head and folding fangs. | species:reptile
vulpine | A vulpine fox-family character, the broader fox-derived species group. | species:canid
wallaby | A small marsupial species in the kangaroo family, shorter and stockier than its larger relatives. | species:other
walrus | A walrus species character, large Arctic marine mammal with prominent tusks. | species:marine
weasel | A weasel species character, slender quick-bodied mustelid predator, the weasel as the noted anatomy or body feature. | species:mustelid
wendigo | A cursed antlered creature from Algonquian folklore, gaunt and hungering for flesh. | species:mythical
werewolf | A shapeshifting human that becomes a wolf, typically tied to the moon cycle. | species:mythical
western_dragon | European-style winged dragon, stocky body with bat-like wings and breath weapon. | species:mythical
whale | A whale species character, massive cetacean of the oceans, baleen or toothed. | species:marine
whelp | A young dragon character, the juvenile dragon form with softer proportions. | species:other
white_tiger | A white tiger variant character, leucistic colour-morph of the standard tiger. | species:felid
wolf | A wolf species character, the apex pack-hunting canine with thick double coat. | species:canid
wolf_boy | A male humanoid character with wolf ears and tail, otherwise human in shape. | species:canid
wolf_girl | A female humanoid character with wolf ears and tail, otherwise human in shape. | species:canid
wolf_pup | A young wolf pup character, the juvenile form with softer features and floppier ears. | species:canid
wolverine | A wolverine species character, the largest land-dwelling mustelid with a fierce reputation. | species:mustelid
wombat | An Australian burrowing marsupial, stocky and barrel-shaped with a backward-facing pouch. | species:other
worg | An evil oversized wolf from fantasy fiction, often intelligent and mount-sized. | species:other
wyrm | A limbless serpentine dragon species, long body without legs or wings. | species:mythical
wyvern | A two-legged winged dragon, draconic creature with only one pair of limbs besides the wings. | species:mythical
yak | A high-altitude yak bovine species, long shaggy fur and curved horns adapted for cold. | species:bovid
yokai | A general Japanese supernatural creature, catch-all for ghosts, spirits, and strange beings. | species:other
zebra | A zebra species character, striped equine with bold black-and-white pattern. | species:equid
zombie | An undead reanimated corpse character, typically shambling, decayed, and hungering for flesh. | species:mythical

================================================================================
BODY TYPES & FIGURES
================================================================================
animal_head | Human body paired with a fully animal head, sharper than anthro but not a full furry silhouette. | body_type
animate_inanimate | Living, acting versions of objects that shouldn't be alive — walking teapots, sentient signposts, talking furniture. | body_type
athletic | Toned, fit build with visible definition but without the bulk of a bodybuilder physique. | body_type
big muscles | Larger-than-average muscular structure | body_type
bottom heavy | Larger hips and thighs compared to upper body | body_type
busty_feral | A fully quadrupedal feral animal drawn with prominent breasts, the anatomical juxtaposition itself the point. | body_type
curvy figure | Noticeable curves, often on hips and bust | body_type
dwarfism | Character with proportionally short limbs and recognisable dwarfism traits, distinct from just being short. | body_type
eldritch_horror | Unknowable cosmic-horror anatomy — too many eyes, wrong angles, geometry that hurts to look at. | body_type
emaciated | Extremely thin body with visible ribs, hollow cheeks, and pronounced bones from severe malnutrition. | body_type
