TAG DATABASE: META, SETTING & CHARACTER
========================================
Total tags: 1434
Categories: 12
Last updated: 2026-02-26

================================================================================
SEX, GENDER & PAIRING
================================================================================
_transformation | A tag indicating a transformation into a specified gender, the gender-shift the focus. | meta:pairing
maleherm | A male-bodied character with both penis and vagina, masculine-primary hermaphrodite configuration. | meta:pairing
mf | A male/female pairing, one man and one woman as the heterosexual participants. | meta:pairing
mfm | A male/female/male threesome pairing, two men and one woman in the scene. | meta:pairing
mm | A male/male pairing, two men as the participants in the scene. | meta:pairing
mmf | A male/male/female threesome pairing, two men and one woman in the scene. | meta:pairing
mmm | A three-male pairing, three men as the participants in the scene. | meta:pairing
nonbinary | A character identifying outside the male-female binary, genderqueer framing of identity. | meta:pairing
orgy_pairing | Multiple participants beyond threesome size, an orgy-scale group sexual configuration. | meta:pairing
pillow_princess | A passive receiver who doesn't reciprocate sexually, content to receive without giving back. | meta:pairing
polyamorous_group | A polyamorous group relationship with multiple partners in an ethical arrangement. | meta:pairing
power_bottom | A receptive partner who controls the encounter, bottoming but leading the pace and dynamic. | meta:pairing
quartet | A scene featuring exactly four characters as the focus of the arrangement. | meta:pairing
quintet | A scene featuring exactly five characters as the focus of the arrangement. | meta:pairing
reverse_harem | One female with multiple male partners in a reverse-harem configuration. | meta:pairing
service_top | An insertive partner who serves the bottom's desires, topping without dominating. | meta:pairing
shota, loli | Young boy/girl archetypes. | meta:pairing
size_queen | A character with a strong preference for large partners or penetration, the size the turn-on. | meta:pairing
solo | A single character in the scene, no sexual partner present for solo masturbation or display. | meta:pairing
stone_butch | A masculine-presenting partner who gives pleasure but doesn't receive, classic lesbian identity. | meta:pairing
stone_top | Top who does not want to be touched sexually | meta:pairing
straight | Heterosexual orientation or content, opposite-sex pairing framing the scene. | meta:pairing
straight_curious | A primarily straight character curious about same-sex experience, questioning framing. | meta:pairing
switch | A character who alternates between dominant and submissive roles depending on partner or mood. | meta:pairing
threesome | A sexual encounter involving exactly three participants all engaging together. | meta:pairing
tomboy | A female character with masculine presentation, boyish energy and mannerisms framing her aesthetic. | meta:pairing
top | The insertive or penetrating sexual role in the scene, topping framing the position. | meta:pairing
trans_female | A male-to-female transgender character, the transition framing her identity in the scene. | meta:pairing
trans_male | A female-to-male transgender character, the transition framing his identity in the scene. | meta:pairing
transgender | A character whose gender identity differs from their assigned sex at birth. | meta:pairing
trio | A scene featuring exactly three characters as the focus of the arrangement. | meta:pairing
twins | Two twin sibling characters, the matched pairing part of the scene's framing. | meta:pairing
vers | Versatile — comfortable in both top and bottom roles | meta:pairing

================================================================================
CHARACTER ROLES & ARCHETYPES
================================================================================
adopted_daughter | A daughter who is adopted rather than biological, the adoption relationship central. | meta:role
adopted_son | A son who is adopted rather than biological, the adoption relationship central. | meta:role
adoptive_brother(s) | Adopted male sibling relationship, family ties by choice rather than blood. | meta:role
adoptive_father | An adoptive male parent, family by adoption rather than blood. | meta:role
adoptive_mother | An adoptive female parent, family by adoption rather than blood. | meta:role
adoptive_sibling(s) | Adopted siblings of either or mixed gender, family by choice. | meta:role
adoptive_sister(s) | Adopted female sibling relationship, family-by-choice with a sister role. | meta:role
adventurer | A character on quests or journeys, adventurer role central. | meta:role
age_gap | A significant age difference between partners, the gap central to the pairing. | meta:role
alpha_character | A character holding the dominant leader role in pack or group hierarchy. | meta:role
ancestor_and_descendant | A relationship across generations, ancestor and descendant family-line framing the bond. | meta:role
anthro_character | An anthropomorphic animal character, species role in the scene. | meta:role
apprentice | A character learning under a mentor, the trainee role framing their position. | meta:role
aristocracy | A character of noble or upper-class standing, aristocratic role. | meta:role
assassin | A character who kills for hire or duty, assassin occupation. | meta:role
aunt | A female sibling of a parent, the aunt relationship framing the family connection. | meta:role
aunt_and_nephew | An aunt and nephew family relationship, the cross-generational pairing framing. | meta:role
aunt_and_niece | An aunt and niece family relationship, the cross-generational pairing framing. | meta:role
bad_parenting | A scene depicting neglectful or harmful parenthood, the failure framing the dynamic. | meta:role
bard | A musical or storytelling bard character, the entertainer-in-taverns role. | meta:role
bartender | A character who serves drinks at a bar, bartender occupation. | meta:role
best_friends | Characters in a close platonic friendship, often underpinning romance. | meta:role
beta_character | A character holding the middle-rank role in pack or group hierarchy. | meta:role
blacksmith | A character who forges metal items as their occupation, the blacksmith role. | meta:role
blue_collar_workers | Characters in manual labour or trade occupations, the working-class framing. | meta:role
body_swap | Characters swapping bodies, mind in another's form for the duration of the scene. | meta:role
bodyguard | A character tasked with protecting another, the bodyguard role framing their duty. | meta:role
boutique_owner | A character who owns a specialty shop, shopkeeper role. | meta:role
brother | A male sibling relationship, the brother framing in the family tree. | meta:role
chief_and_subordinate | A professional hierarchy where one character reports to another, boss-employee dynamic. | meta:role
clone | A character and their genetic or magical duplicate, the matched pair framing the scene. | meta:role
clothed/nude | One character fully dressed while the other is naked, creating a power or vulnerability contrast. | meta:role
clothing_swap | Characters swapping their outfits, each wearing the other's clothes for the scene. | meta:role
concubine | A secondary sexual partner in a formal arrangement, courtly role. | meta:role
courtesan | A high-class sex worker or companion, elegant role rather than streetwalker framing. | meta:role
cousins | Relatives sharing a common ancestor, the cousin relationship framing the family tie. | meta:role
crossover | Characters from different series meeting in the same scene, cross-franchise framing. | meta:role
daughter | A female child of the family, the daughter relationship framing her position. | meta:role
dominant/submissive | A power exchange dom-sub dynamic, the controlling-and-yielding relationship framing. | meta:role
engaged | A character betrothed to another, the engagement framing the pre-married status. | meta:role
familiar | A magical animal companion bound to a master through magic. | meta:role
family | General family theme, relatives as the central relationship of the scene. | meta:role
father | A male parent, the father relationship framing his position in the family. | meta:role
father_and_daughter | A father and daughter family relationship, the parent-child pairing framing. | meta:role
father_and_son | A father and son family relationship, the parent-child pairing framing. | meta:role
feral_character | A non-anthropomorphic feral animal character, the fully-quadruped role framing. | meta:role
girlfriend | A female romantic partner, often of a cheating character. | meta:role
gladiator | An arena fighter character, the gladiator role framing their combat occupation. | meta:role
good_parenting | A scene depicting affectionate or attentive parenting, the positive framing of family. | meta:role
granddaughter | A female grandchild, the granddaughter relationship framing her family position. | meta:role
grandfather | A male grandparent, the grandfather relationship framing his family position. | meta:role
grandmother | A female grandparent, the grandmother relationship framing her family position. | meta:role
grandparent_and_grandchild | A relationship across two generations between grandparent and grandchild. | meta:role
grandson | A male grandchild, the grandson relationship framing his family position. | meta:role
guard | A character in a protective or security role, guard occupation. | meta:role
healer | A character with healing abilities or medical role, the curative function framing them. | meta:role
human_character | A fully human character in a furry setting, species role. | meta:role
husband_and_husband | A gay married couple, the husband-and-husband framing of their union. | meta:role
husband_and_wife | A heterosexual married couple, the husband-and-wife framing of their union. | meta:role
incest | Explicit familial sexual content, the incestuous relationship framing the dark scene. | meta:role
knight | An armoured warrior or chivalrous protector character, the knightly role framing. | meta:role
lone_wolf | A character who operates alone by choice, solo framing. | meta:role
mage | A gender-neutral magic-user character, the mage role framing their abilities. | meta:role
married | A marital relationship tag, spouses as the established framing of the scene. | meta:role
master | A character in position of authority or ownership, master role. | meta:role
master/slave | One character owns or commands another, dom-sub extended to ownership. | meta:role
mentor | An experienced character guiding a less experienced one, the mentor role framing. | meta:role
merchant | A character who trades goods as their occupation, the merchant role framing. | meta:role
mother | A female parent, the mother relationship framing her position in the family. | meta:role
mother_and_daughter | A mother and daughter family relationship, the parent-child pairing framing. | meta:role
mother_and_son | A mother and son family relationship, the parent-child pairing framing. | meta:role
mount/rider_relations | One character riding another, the mount and rider dynamic framing the relationship. | meta:role
neighbor | Characters living nearby, the neighbour relationship framing their proximity. | meta:role
nephew | A male child of a sibling, the nephew relationship framing his family position. | meta:role
niece | A female child of a sibling, the niece relationship framing her family position. | meta:role
noble | A character of aristocratic or high social standing, the noble role framing. | meta:role
omega_character | A character holding the submissive or lowest-rank role in pack hierarchy. | meta:role
pack_leader | The leader of an animal or social pack, top of hierarchy. | meta:role
parent_and_child | A parent with their child together, the parental relationship framing the scene. | meta:role
partners | Characters in an established romantic partnership, the long-term framing of the pair. | meta:role
pet | A domesticated animal or character in pet role, the owned-creature framing. | meta:role
photographer | A character whose profession is photography, the photographer role framing them. | meta:role
pirate | A seafaring outlaw character, the pirate role framing their occupation and aesthetic. | meta:role
predator/prey | An ecological relationship between predator and prey species, the food-chain framing. | meta:role
priest | A religious or spiritual authority character, the priest role framing them. | meta:role
priestess | A female religious or spiritual authority, the priestess role framing her function. | meta:role
professor | An academic instructor character, the professor role framing their occupation. | meta:role
roommate | Characters sharing a living space, the roommate relationship framing their proximity. | meta:role
royalty | A character of royal bloodline or status, royal role. | meta:role
selfcest | A character engaging sexually with themselves or a clone. | meta:role
servant | A character in service to another, the servant role framing their position. | meta:role
shapeshifter | A character able to change physical form at will. | meta:role
siblings | Characters who are brothers or sisters, the sibling relationship framing the family. | meta:role
sister | A female sibling relationship, the sister framing in the family tree. | meta:role
son | A male child of the family, the son relationship framing his position. | meta:role
square_crossover | Different versions of the same character meeting, variant encounter. | meta:role
stray | A homeless or unowned animal character, the stray framing their situation. | meta:role
student | A character enrolled in education, the student role framing their position. | meta:role
sugar_baby | A younger partner receiving financial support from a wealthier older partner. | meta:role
sugar_daddy | An older wealthy male partner providing financial support to a younger partner. | meta:role
sugar_mama | An older wealthy female partner providing financial support to a younger partner. | meta:role
tailor | A character whose profession is tailoring or clothing-making, the tailor role. | meta:role
teacher | A character in an educational instructor role, the teacher framing their position. | meta:role
teacher_and_student | An educational relationship between teacher and student, the academic dynamic framing. | meta:role
thief | A character who steals as profession or necessity, the thief role framing them. | meta:role
trophy_husband | An attractive male spouse valued primarily for appearance, decorative-partner framing. | meta:role
trophy_wife | An attractive spouse valued primarily for appearance, decorative-partner framing. | meta:role
twincest | Incest specifically between twin siblings, the matched-pair incest framing the scene. | meta:role
twinning | A character becoming a look-alike of another, match in appearance. | meta:role
uncle | A male sibling of a parent, the uncle relationship framing the family connection. | meta:role
uncle_and_nephew | An uncle and nephew family relationship, the cross-generational pairing framing. | meta:role
uncle_and_niece | An uncle and niece family relationship, the cross-generational pairing framing. | meta:role
wife_and_wife | A lesbian married couple, the wife-and-wife framing of their union. | meta:role
witch | A female magic-user character, the witch role framing her abilities. | meta:role
wizard | A male magic-user character, the wizard role framing his abilities. | meta:role

================================================================================
BODY FLUIDS
================================================================================
amniotic_fluid | Fluid around fetus inside amniotic sac | meta:fluid
anal_juice | Lubricant or secretion from anus | meta:fluid
blood | Presence of blood (injury, menstruation, etc.) | meta:fluid
breast_milk | Milk from lactating breasts | meta:fluid
cum_dripping | Ejaculate dripping from body or orifice | meta:fluid
cum_in_mouth | Ejaculate inside the mouth | meta:fluid
cum_on_tongue | Ejaculate visibly on the tongue | meta:fluid
ectoplasm | Ghostly or spectral fluid | meta:fluid
excess_saliva | Excessive drool from arousal or oral activity | meta:fluid
excessive_drool | Large amounts of drool during oral or arousal | meta:fluid
excessive_precum | Large amounts of pre-ejaculatory fluid | meta:fluid
feces | Bodily waste from rectum | meta:fluid
heat_slick | Lubricant produced during heat/estrus | meta:fluid
ichor | Supernatural or divine blood | meta:fluid
ink | Defensive ink from cephalopod | meta:fluid
mating_fluid | Specialized reproductive fluid | meta:fluid
messy_cum | Ejaculate spread messily across surfaces or body | meta:fluid
milk | Mammary secretion | meta:fluid
mixed_fluids | Multiple body fluids mingled together | meta:fluid
natural_lubrication | Self-produced genital lubrication | meta:fluid
nectar | Sweet fluid (insect or plant creature) | meta:fluid
nose_bleed | Blood from nose (often from arousal in anime style) | meta:fluid
pheromone_cloud | Visible cloud of pheromones | meta:fluid
pussy_juice | Vaginal lubrication or ejaculation | meta:fluid
rut_musk | Pungent scent produced during rut | meta:fluid
saliva | Spit or drool from mouth | meta:fluid
sap | Sticky fluid (plant creature) | meta:fluid
slick | Natural lubricant produced during arousal (omegaverse term) | meta:fluid
slime_fluid | Viscous fluid from slime creatures | meta:fluid
soaked | Extremely wet from arousal or fluids | meta:fluid
squirt | Female ejaculation during orgasm | meta:fluid
squirting | Act of female ejaculation | meta:fluid
sweat | Perspiration on body | meta:fluid
tears | Crying or emotional discharge | meta:fluid
urine | Piss; liquid excretion from urethra | meta:fluid
venom | Poisonous or toxic fluid from fangs or stinger | meta:fluid
wet | Visibly aroused and lubricated | meta:fluid

================================================================================
SOUNDS & PHYSICAL REACTIONS
================================================================================
afterglow | The warm satisfied state following orgasm, body relaxed and content. | meta:reaction
aftershock | Residual orgasmic waves pulsing through the body after the main climax. | meta:reaction
arousal | The state of sexual excitement, body and mind both turned on. | meta:reaction
babbling | An incoherent stream of words from overwhelming pleasure or arousal. | meta:reaction
back_arching | Arching the back from intense sensation, spine curving away from the surface. | meta:reaction
begging | Pleading verbally during sex, asking for release or continuation. | meta:reaction
bellowing | Deep loud vocalisation, typically from bovine or large-species characters. | meta:reaction
bite_marking | Leaving visible bite marks on a partner as a claiming gesture. | meta:reaction
biting | Using teeth on a partner's body during sex, bites as the focus. | meta:reaction
blacking_out | Briefly losing consciousness from the intensity of orgasm, vision and awareness slipping. | meta:reaction
blushing | The face reddening from arousal or embarrassment, visible colour rising. | meta:reaction
body_shudder | A full-body shudder of pleasure, involuntary whole-body tremor running head to toe. | meta:reaction
boneless | Going completely limp after intense orgasm, body slack and unresponsive. | meta:reaction
chain_orgasm | One orgasm triggering another in quick succession, back-to-back climaxes. | meta:reaction
chittering | Rapid clicking or chattering sounds from arousal or overstimulation. | meta:reaction
clenching | Involuntary muscle tightening during arousal, internal grip squeezing in rhythm. | meta:reaction
clinging | Grabbing and holding tightly to a partner during climax, desperation in the grip. | meta:reaction
collapsing | Going limp and falling after intense orgasm, body refusing to hold itself up. | meta:reaction
coming_untouched | Reaching orgasm without direct genital contact, arousal alone triggering release. | meta:reaction
convulsing | Full-body contractions during intense orgasm, shuddering past voluntary control. | meta:reaction
cooing | Soft gentle sounds of contentment, dove-soft vocalisation between partners. | meta:reaction
cross_eyed | Eyes crossing from overwhelming sensation, focus lost to pleasure. | meta:reaction
crying | Tears shed during an emotional or intense sexual experience. | meta:reaction
cuddling_after | Physical closeness and comfort after sex, the aftercare embrace. | meta:reaction
desperation | Urgent frantic need during a sexual situation, past patient into desperate. | meta:reaction
dirty_talk | Explicit verbal communication during sex, filthy words as part of the act. | meta:reaction
drooling | Involuntary saliva flow from arousal or intense stimulation, drool running from mouth. | meta:reaction
ear_flicking | Involuntary ear movement from arousal or attention, furry-specific reaction. | meta:reaction
exhaustion | Physical depletion from intense sexual activity, energy spent and body slack. | meta:reaction
eye_rolling | Eyes rolling back from overwhelming pleasure, whites visible above the iris. | meta:reaction
falling_asleep_after | Partners drifting off together post-sex, exhaustion and intimacy combined. | meta:reaction
flirting | Playful romantic or sexual communication, low-stakes teasing for interest. | meta:reaction
flushing | Skin reddening from arousal or exertion, visible colour rising. | meta:reaction
full_body_orgasm | An orgasm felt through the entire body rather than just genitals, whole-body wave. | meta:reaction
gasping | Sharp intake of breath from surprise or pleasure, mouth opening involuntarily. | meta:reaction
going_nonverbal | Losing the ability to speak from intensity, words no longer forming. | meta:reaction
goosebumps | Skin prickling from arousal or sensation, involuntary bumps rising. | meta:reaction
grooming_partner | Licking or cleaning a partner's fur as intimate gesture, furry-specific affection. | meta:reaction
grunting | Low rough vocalisations during exertion, masculine effort sounds during the act. | meta:reaction
hackles_raised | Fur standing on end from arousal or aggression, furry-specific alert response. | meta:reaction
incoherent | Unable to form coherent words from overwhelming pleasure, speech reduced to noise. | meta:reaction
keening | A sustained high-pitched cry of pleasure or need, mournful or ecstatic. | meta:reaction
knees_buckling | Knees failing from overwhelming sensation, legs giving way beneath the body. | meta:reaction
laughing_during_sex | Genuine laughter from joy or ticklishness during sex, lightness in the scene. | meta:reaction
leg_shaking | Involuntary leg tremors during or after orgasm, the legs unable to hold still. | meta:reaction
legs_giving_out | Legs going weak from intense pleasure, unable to hold weight. | meta:reaction
lip_biting | Biting one's own lip from arousal, teeth pressed into the soft flesh as a tell. | meta:reaction
marking_during_orgasm | Biting or scratching partner at the point of climax | meta:reaction
mewling | Soft high-pitched whimpering mewling sounds, kitten-soft vocalisation between gasps and breaths. | meta:reaction
mind_going_blank | Losing all coherent thought from the intensity, mental whiteout under pleasure. | meta:reaction
moaning | Vocal expression of pleasure, the classic sex sound running through the scene. | meta:reaction
name_moaning | Moaning a partner's name during sex, identifying the source of pleasure. | meta:reaction
overstimulation_tears | Crying from too much stimulation, oversensitive body weeping at every additional touch. | meta:reaction
panting | Heavy breathing from exertion or arousal, air pulled fast and shallow. | meta:reaction
pillow_talk | Intimate conversation after sex, soft exchanges in the afterglow. | meta:reaction
pleasure_crying | Tears from overwhelming pleasure rather than sadness or pain. | meta:reaction
post_coital_bliss | Peaceful contentment after sex, the satisfied afterglow lingering between partners. | meta:reaction
puddle | Collapsing into a satisfied heap post-orgasm, body pooled into relaxation. | meta:reaction
pulsing | Rhythmic contracting during orgasm, internal beat of climax visible or felt. | meta:reaction
rolling_orgasm | A sustained wave-like orgasm that doesn't peak and end but rolls on. | meta:reaction
screaming | Loud vocalisation from intense pleasure or pain, voice raised to a shout. | meta:reaction
seeing_stars | Overwhelmed senses during intense pleasure, vision sparking and edges blurring. | meta:reaction
shaking | Whole-body tremors from intense arousal or orgasm, body unable to hold still. | meta:reaction
sighing | A long exhale of pleasure or satisfaction, breath released. | meta:reaction
snarling | Aggressive vocalisation baring teeth, predatory sound during arousal or possessive moment. | meta:reaction
sobbing | Intense crying during an emotional sexual experience, tears and sounds together. | meta:reaction
sobbing_orgasm | Crying from intensity during climax, tears woven into the release. | meta:reaction
squirming | Writhing or wriggling from stimulation, unable to stay still. | meta:reaction
stuttering | Broken speech from intense stimulation, words tripping and fragmenting on the tongue. | meta:reaction
swearing | Cursing from the intensity of sensation, expletives as a response. | meta:reaction
sympathetic_orgasm | An orgasm triggered by a partner's climax rather than direct stimulation. | meta:reaction
tail_wagging | Involuntary tail movement from excitement or happiness, furry-specific reaction. | meta:reaction
toe_curling | Curling toes from intense pleasure, the classic involuntary tell. | meta:reaction
trembling | Involuntary shaking from arousal or intensity, fine tremors running through the body. | meta:reaction
twitching | Involuntary muscle spasms from stimulation, small visible jerks throughout the body. | meta:reaction
vocal | Notably loud or expressive during sex, voice a central part of the scene. | meta:reaction
whimpering | Soft breathy sounds of pleasure or submission, quiet vocalisation between gasps. | meta:reaction
whining | A high-pitched pleading whine vocalisation, wordless request or desperate sound running between syllables. | meta:reaction
yelping | A sharp cry of surprise or stimulation, canine-style exclamation. | meta:reaction

================================================================================
FACIAL EXPRESSIONS
================================================================================
ahegao | The exaggerated orgasmic anime face: eyes rolled up, tongue lolling out, drool trailing from the mouth. | meta:expression
bedroom_eyes | A seductive half-lidded gaze, eyes heavy with desire and deliberately inviting. | meta:expression
blank_stare | An empty emotionless blank stare, the face holding no visible reaction to what's happening. | meta:expression
closed_frown | A frown with lips pressed together, displeasure held behind closed mouth. | meta:expression
closed_smile | A smile with lips together, closed-mouth expression of pleasure or amusement. | meta:expression
constricted_pupils | Pupils narrowed to pinpricks, the eyes betraying shock, fear, or chemical intensity. | meta:expression
cross-eyed | Eyes turned inward toward each other, focus crossed from overwhelm or stupor. | meta:expression
derp_eyes | A silly or confused derp-eyed expression, eyes uncoordinated as comedic tell. | meta:expression
dilated_pupils | Enlarged dilated pupils taking over the iris, often signalling arousal, fear, or low light. | meta:expression
evil_grin | A malicious wicked grin, teeth showing with villainous intent behind the expression. | meta:expression
eye_glint | A small bright glint of light on the eye, catch-light shining in the pupil. | meta:expression
eye_roll | Eyes rolled upward in reaction, exasperation or pleasure depending on context. | meta:expression
eyes_closed | Eyes fully shut during the scene, either from sleep, pleasure, or concentration. | meta:expression
frown | A sad or discontent frown, lips turned down with visible negative emotion. | meta:expression
fucked_silly | A fucked-silly post-orgasm dazed expression, face slack and eyes unfocused from overstimulation. | meta:expression
furrowed_brow | Eyebrows drawn together in a furrowed brow, expressing worry, focus, or concentration. | meta:expression
glare | An angry or intense glare, eyes narrowed with hostility toward the subject of the look. | meta:expression
grin | A wide teeth-showing grin, joy or mischief on full display. | meta:expression
half-closed_eyes | A relaxed or sleepy half-lidded gaze, eyes heavy but still awake. | meta:expression
licking_lips | A tongue dragging across the lips in hungry or suggestive gesture. | meta:expression
looking_pleasured | An expression of sensual satisfaction, the face registering pleasure clearly. | meta:expression
mouth_closed | A neutral closed mouth during the scene, lips together without expression emphasis. | meta:expression
narrowed_eyes | A narrowed suspicious or focused gaze, eyes reduced to slits. | meta:expression
one_eye_closed | One eye closed while the other remains open, either a wink or a pained squint. | meta:expression
open_frown | A frown with the mouth open, distress or shout framing the expression. | meta:expression
open_mouth | A mouth hanging open in surprise or pleasure, jaw slack and lips parted. | meta:expression
open_smile | A smile with the mouth open showing teeth, joy or delight on full display. | meta:expression
orgasm_face | An intense orgasmic expression at the moment of climax, unguarded and overwhelmed. | meta:expression
petted_silly | A blissed-out petted-silly expression from affectionate touch, melted into pleasure. | meta:expression
pouting | Lips pushed out in a pout, displeasure or theatrical disappointment on the face. | meta:expression
raised_eyebrow(s) | One or both eyebrows raised in expression, indicating surprise, scepticism, or sass. | meta:expression
scowl | An angry scowl, deep frown with narrowed eyes expressing sustained displeasure. | meta:expression
smile | A simple smile expressing happiness, lips curled up without further elaboration. | meta:expression
smirk | A confident cocky half-smile, one corner of the mouth raised in knowing amusement. | meta:expression
sneer | A contemptuous or mocking sneer, lip curled in disdain for the subject. | meta:expression
spiral_eyes | Dizzy hypnotised spiral eyes, pupils replaced by swirling patterns of confusion or entrancement. | meta:expression
squint | Partially closed squinting eyes, either from light, focus, or suspicion. | meta:expression
tongue_out | A tongue sticking out of the mouth, playful, taunting, or sensually displayed. | meta:expression
torogao | The torogao dominance-lust expression, heavy drool and rolled-back eyes combined with hungry hunger. | meta:expression
wavy_mouth | An uneven wavy mouth line, anxiety or nervousness wavering the expression. | meta:expression
wide_eyed | Wide open eyes showing surprise, shock, or alert attention to the scene. | meta:expression
wince | A wince of pain or discomfort, face briefly contracted from an unpleasant sensation. | meta:expression
wink | One eye closed in a playful wink, flirtation or acknowledgement to a partner or viewer. | meta:expression
x_eyes | Crosses drawn in place of pupils, cartoon shorthand for unconsciousness, drunkenness, or death. | meta:expression

================================================================================
EMOTIONAL THEMES & DYNAMICS
================================================================================
abo | Alpha/Beta/Omega dynamic shorthand, the omegaverse framework of biological power tiers. | meta:emotion
acceptance | A character coming to terms with their own desires or identity after resistance or doubt. | meta:emotion
addiction | Compulsive need for sexual encounters or a specific partner, craving framed as dependency. | meta:emotion
affair | A sexual relationship outside a committed partnership, the infidelity framing central. | meta:emotion
alpha | The dominant leader role in pack hierarchy or ABO dynamics, the one at the top. | meta:emotion
alpha_command | A voice of absolute authority that compels obedience in omegaverse fiction. | meta:emotion
alpha_pair | The dominant mated pair leading a pack, the power couple at the top of hierarchy. | meta:emotion
alpha_rut | An alpha character experiencing rut, the male equivalent of heat in omegaverse. | meta:emotion
arranged_marriage | A partnership arranged by others rather than freely chosen by the couple. | meta:emotion
battle_couple | Partners who fight together and love together, their combat partnership part of the romance. | meta:emotion
beta | The middle-rank role in pack hierarchy or ABO dynamics, the unremarkable tier. | meta:emotion
betrayal | A violation of trust within a relationship, the breach itself framing the scene. | meta:emotion
bittersweet | Mixed emotions — pleasure tinged with sadness or loss | meta:emotion
bonded | Partners linked mystically or emotionally, a soul-bond or magical tie between them. | meta:emotion
breaking_point | The moment where a character's restraint finally snaps, composure giving way. | meta:emotion
breeding_bond | An emotional connection formed through the act of mating, the bond a biological consequence. | meta:emotion
catalyst | A character whose presence triggers change in others' relationships or self-awareness. | meta:emotion
catharsis | Emotional release achieved through sexual experience, the scene's purpose the purge. | meta:emotion
character_development | A story with significant growth or change in characters through the narrative. | meta:emotion
character_driven | A story prioritising character psychology and interiority over plot. | meta:emotion
chase | Pursuit of one character by another with sexual intent | meta:emotion
cheating | Sexual activity that violates an existing relationship commitment, the betrayal central to the scene's tension. | meta:emotion
childhood_friends | A long-standing friendship from childhood that often turns romantic as adults. | meta:emotion
claiming | A character declaring sexual or romantic ownership of a partner through word or act. | meta:emotion
claiming_ceremony | A ritual formally claiming a mate, the ceremony making the bond public. | meta:emotion
codependency | An unhealthy mutual emotional reliance between partners, each unable to function alone. | meta:emotion
comfort_scenting | Using scent to calm or reassure a partner, a furry-specific comfort gesture. | meta:emotion
coming_to_terms | A character's process of accepting difficult truths about themselves. | meta:emotion
communication_focused | A story emphasising verbal negotiation and dialogue between partners. | meta:emotion
courting | A formal pursuit or wooing ritual before mating, the slow pre-partnership dance framing the scene. | meta:emotion
cross_species_romance | Romance between partners of different species, the species gap central to the story. | meta:emotion
deflowering | Taking a partner's virginity, the first-time scene framed as the taking. | meta:emotion
den_building | Partners creating a shared den or nest space, the domestic building-together intimate. | meta:emotion
dependency | Emotional or sexual reliance on a partner, need framed as dependency. | meta:emotion
desire | Intense wanting or sexual longing as the driving emotion of the scene. | meta:emotion
devotion | Deep committed emotional attachment, worship-adjacent loyalty to a partner. | meta:emotion
