TAG DATABASE: ACTS & POSITIONS
========================================
Total tags: 1632
Categories: 10
Last updated: 2026-02-26

================================================================================
SEXUAL ACTS
================================================================================
*_sex | Wildcard placeholder for various sex acts when the specific type cannot be determined. | act:sexual
bilateral_penetration | Simultaneous penetration occurring in two orifices or from two directions at once. | act:sexual
birthday_sex | Sexual encounter framed as a birthday gift or celebration. | act:sexual
bite | General biting with teeth during sex, ranging from playful nips to hard bites. | act:sexual
bladder_penetration | Penetration through the urethra deep enough to enter the bladder. | act:sexual
blowjob | Oral sex performed on a penis using mouth, lips, and tongue. | act:sexual
body_part_in_pussy | General tag for vaginal insertion using any body part such as fingers, fist, tongue, tail, or foot. | act:sexual
body_slide | Non-penetrative act where one partner slides their oiled or lubricated body along the other's, using full-body skin contact for stimulation. | act:sexual
body_worship | Prolonged, reverent physical attention across a partner's entire body through kissing, licking, and caressing. | act:sexual
body_writing | Writing degrading, possessive, or instructional words on a partner's skin as a form of humiliation or ownership marking. | act:sexual
brain_penetration | Extreme fantasy tag where penetration reaches or enters the brain, typically through the nasal cavity, ear, or eye socket. | act:sexual
breast_play | Sexual stimulation of breasts through groping, sucking, licking, squeezing, or nipple manipulation. | act:sexual
breeding | Sex framed around the intent or fantasy of impregnation, whether literal or as a kink. | act:sexual
breeding_mount | Mounting position mimicking natural animal mating, with the top partner covering the bottom from behind. | act:sexual
building_penetration | Macro-scale fantasy where a character is so large they use an entire building or structure for penetration. | act:sexual
bukakke_circle | Group arrangement where multiple participants stand in a circle around a central receiver, each masturbating to ejaculate onto them. | act:sexual
bukkake | Multiple participants ejaculating onto a single receiver, typically targeting the face and upper body. | act:sexual
bulge_outline | The shape of a penetrating object or organ is clearly visible through the skin or body wall, showing its contour and movement. | act:sexual
butler_position | Oral sex position where the giver kneels behind the standing receiver, providing rimming or oral access from the rear. | act:sexual
car_sex | Sexual activity inside a vehicle, typically cramped and spontaneous. | act:sexual
cervical_penetration | Penetration that pushes past the vaginal canal and enters or passes through the cervix into the uterus. | act:sexual
cervical_prolapse | The cervix pushed outside the vaginal opening, usually depicted after extreme depth or rough penetration. | act:sexual
cervix_view | Internal perspective showing the cervix during vaginal penetration, often with the tip of the penis pressing against or passing through it. | act:sexual
chest_bulge | Visible distension of the chest or ribcage area caused by extremely deep penetration pushing upward through the body. | act:sexual
chirping | Short, high-pitched vocalisations made by avian or small reptilian characters during sexual arousal or pleasure. | act:sexual
choking_on_cock | Oral penetration deep enough to trigger choking, gagging, or difficulty breathing, with the penis filling or blocking the throat. | act:sexual
circle_jerk | Group of males masturbating together in a circle formation, often stroking themselves or each other. | act:sexual
claim_bite | A deliberate, hard bite intended to leave a visible mark as a sign of ownership or possession. | act:sexual
cloacal_fingering | Insertion of fingers into a cloaca for sexual stimulation, applicable to avian, reptilian, and other species with a shared genital-anal opening. | act:sexual
cloacal_fisting | Insertion of a full fist into a cloaca, the extreme stretching variant for species with a shared genital-anal opening. | act:sexual
cloacal_penetration | General catch-all for any penetrative sexual activity involving a cloaca, whether by penis, toy, fingers, or other objects. | act:sexual
clothed_sex | Sexual intercourse where one or both partners remain partially or mostly dressed, exposing only what is necessary. | act:sexual
clothes_pulled_aside | Underwear, swimwear, or other clothing is pushed to the side to expose the genitals without being removed. | act:sexual
clutch | A full batch of eggs carried inside or in the process of being laid. | act:sexual
cock_in_mouth | A penis inside a partner's mouth, whether for active oral sex or passive holding. | act:sexual
cock_outline | The shape of a penis clearly visible through tight clothing, underwear, or through the body wall during deep penetration. | act:sexual
cock_slapping | Slapping a partner's face, cheeks, or body with the penis as a dominance or humiliation act. | act:sexual
cock_warming | Keeping the penis inserted without thrusting, often for extended periods as an act of intimacy or submission. | act:sexual
cock_worship | Prolonged, reverent attention to a partner's penis through licking, kissing, nuzzling, and oral service, treating it with adoration rather than just performing a blowjob. | act:sexual
collaborative_fellatio | Two or more givers simultaneously performing oral sex on a single penis, sharing the shaft, head, and balls between them. | act:sexual
comfort_sex | Sex where the emotional need for reassurance or closeness takes priority over physical pleasure. | act:sexual
cowgirl | Sexual position where the receiving partner straddles and rides the other while facing them, controlling the depth, angle, and pace. | act:sexual
creampie | Internal ejaculation where the cum is visibly leaking, dripping, or pooling at the orifice after the penis withdraws. | act:sexual
creampie_eating | Orally consuming ejaculate directly from a partner's vagina or anus after internal ejaculation. | act:sexual
cross_section | Artistic cross-sectional view showing penetration from the inside, cutting through flesh to reveal the internal fit. | act:sexual
cum_belly | The abdomen is visibly swollen and distended from the sheer volume of ejaculate deposited inside, giving the appearance of a full or pregnant belly. | act:sexual
cum_bloat | Extreme body swelling beyond just the belly, where massive volumes of internal ejaculate cause visible distension across the torso or entire body. | act:sexual
cum_cleanup | The act of licking, wiping, or otherwise cleaning up ejaculate from a partner's body or surfaces after sex. | act:sexual
cum_drip | Ejaculate slowly dripping or leaking from an orifice (anus, vagina, or mouth) after sex, indicating a recent internal finish. | act:sexual
cum_drool | Ejaculate dripping or leaking from the mouth after oral sex or snowballing. | act:sexual
cum_dump | A character who serves as a receptacle for multiple partners' ejaculate, often receiving many loads in succession. | act:sexual
cum_eating | Deliberately consuming ejaculate, whether licked from a surface, scooped from the body, or eaten from a container. | act:sexual
cum_fart | Ejaculate expelled from the anus accompanied by gas after anal sex, producing a wet, sloppy sound. | act:sexual
cum_filled | A body cavity visibly full of ejaculate, often with a distended belly or overflowing orifice. | act:sexual
cum_inside | Ejaculating inside a partner's body cavity (vagina, anus, mouth, or other orifice) rather than pulling out. | act:sexual
cum_marking | Deliberately using ejaculate to mark a partner's body as a territorial or possessive claim, similar to scent marking but with semen. | act:sexual
cum_nose | Ejaculate forced up through the nasal passages and out the nose, typically from an extremely large internal ejaculation during deep oral sex. | act:sexual
cum_on_ass | Ejaculating onto a partner's buttocks, either as a deliberate finish or as pullout aftermath. | act:sexual
cum_on_back | Ejaculating onto a partner's back, typically during rear-entry positions where the giver pulls out and finishes across the spine. | act:sexual
cum_on_body | General tag for ejaculating onto any part of a partner's body surface. | act:sexual
cum_on_chest | Ejaculating onto a partner's chest, pectorals, or breasts, the cum pooling or streaking across the surface. | act:sexual
cum_on_face | Ejaculating onto a partner's face, covering cheeks, lips, or forehead. | act:sexual
cum_on_feet | Ejaculating onto a partner's feet, toes, or soles, often central to a foot-play scene. | act:sexual
cum_on_stomach | Ejaculating onto a partner's stomach or lower abdomen, often pooling in the navel. | act:sexual
cum_overflow | Ejaculate spilling out of an orifice because the volume exceeds what the body can contain, often gushing around the still-inserted penis. | act:sexual
cum_play | Actively playing with, spreading, smearing, or otherwise interacting with ejaculate as part of the sexual experience. | act:sexual
cum_pool | A visible pool of collected ejaculate on a surface, in a body cavity, or in a hollow of the body such as the navel or collarbone. | act:sexual
cum_string | A thin, sticky strand of ejaculate stretching between two surfaces, such as between the penis tip and a partner's lips, or between fingers being pulled apart. | act:sexual
cum_swallowing | Deliberately swallowing ejaculate during or immediately after oral sex, with the visible throat motion or open-mouth display of the act. | act:sexual
cum_tears | Ejaculate leaking or streaming from the eyes like tears, typically caused by an impossibly large volume of cum forced through the body during deep oral or all-the-way-through scenarios. | act:sexual
cum_through | Ejaculate forced through the body with such volume or pressure that it exits from a different orifice than where it was deposited. | act:sexual
cum_through_sound | Ejaculation occurring while a urethral sound is still inserted, with cum forced to flow around or through the instrument. | act:sexual
cum_trail | A visible line or path of ejaculate that has dripped or run down the body under gravity, tracing a route from its source. | act:sexual
cum_vomit | Ejaculate expelled from the mouth in a vomiting motion, either from gagging on a massive oral load or from cum forced upward through the body after deep internal ejaculation. | act:sexual
cum_while_penetrated | A character reaches orgasm and ejaculates while being penetrated, often hands-free from prostate or internal stimulation alone. | act:sexual
cunnilingus | Oral sex performed on the vulva and vagina using mouth, lips, and tongue. | act:sexual
cutaway_view | Artistic cutaway revealing internal anatomy during penetration, showing how the body accommodates the insertion. | act:sexual
daisy_chain_sex | A group sex formation where each participant simultaneously gives and receives stimulation in a linked chain, so that every person is both pleasuring and being pleasured. | act:sexual
death_by_penis | Extreme fantasy tag where penetration is so violent, deep, or large that it literally kills the receiver, or is depicted as figuratively fatal from overwhelming pleasure. | act:sexual
deep_fisting | Fisting where the arm is inserted well past the wrist, reaching deep into the body cavity. | act:sexual
deep_penetration | Penetration reaching notably deep inside the body, often evidenced by abdominal or internal bulging. | act:sexual
deep_sounding | A urethral sound inserted to extreme depth, reaching well into the bladder or beyond. | act:sexual
deep_throat | Oral sex where the penis passes beyond the mouth and into the throat, often to the base. | act:sexual
deepthroat | Oral sex where the penis is taken past the mouth and into the throat, often to the base. | act:sexual
desk_sex | Sex performed on or bent over a desk, often in a workplace or study setting. | act:sexual
dildo_in_ass | A dildo inserted into the anus for sexual stimulation, either by a partner or self-administered. | act:sexual
dildo_in_cloaca | A dildo inserted into a cloaca, applicable to avian, reptilian, and other species with a shared genital-anal opening. | act:sexual
dildo_in_mouth | A dildo inserted into the mouth, simulating oral sex or used as a gag. | act:sexual
dildo_in_penis | A dildo inserted into the urethra of a penis, functioning as an extreme sounding device. | act:sexual
dildo_in_pussy | A dildo inserted into the vagina for sexual stimulation, either by a partner or self-administered. | act:sexual
dildo_in_urethra | A dildo inserted into the urethra, a specialised form of urethral play requiring tapered or narrow toys. | act:sexual
dildo_sitting | A character seated on a dildo that is typically fixed to a surface via suction cup or mount, using their body weight and hip motion to ride it. | act:sexual
directed_sex | Sexual activity where a non-participating third party verbally instructs or orchestrates what the active partners do. | act:sexual
docking | One partner's foreskin is stretched over the other's glans, sheathing both heads together. | act:sexual
doggy_style | Rear-entry sexual position where the receiver is on all fours while the giver penetrates from behind. | act:sexual
double_all_the_way_through | Two separate penetrations each passing entirely through the body simultaneously, entering and exiting from different orifices. | act:sexual
double_anal | Two penises, toys, or other objects inserted into the anus simultaneously, stretching the sphincter far beyond what a single penetration requires. | act:sexual
double_blowjob | Two givers simultaneously performing oral sex on the same recipient, typically sharing the shaft and head between them. | act:sexual
double_cloacal | Two simultaneous penetrations into a single cloaca, the extreme stretching variant for avian, reptilian, or other species with a shared genital-anal opening. | act:sexual
double_fellatio | Two givers working on a single penis simultaneously, typically with one on each side or taking turns with the head. | act:sexual
double_fisting | Two fists inserted into the same or different orifices simultaneously, either from the same partner using both hands or from two partners at once. | act:sexual
double_oral | Two penises, toys, or other objects inserted into the mouth simultaneously, stretching the jaw and cheeks to accommodate both. | act:sexual
double_penetration | Two orifices penetrated at the same time, typically vagina and anus or anus and mouth. | act:sexual
double_team | Two partners working together to pleasure a single recipient at the same time, whether through penetration, oral, or manual stimulation. | act:sexual
double_vaginal | Two penises, toys, or other objects inserted into the vagina at the same time, stretching it well beyond normal accommodation. | act:sexual
dribbling | A small amount of saliva or fluid leaking from the corners of the mouth, often involuntarily during arousal or exertion. | act:sexual
drool | Uncontrolled saliva flowing from the mouth during sexual activity, usually indicating intense arousal, overwhelm, or loss of composure. | act:sexual
dry_orgasm | Orgasm achieved without any ejaculation, where the body climaxes but produces no visible fluid. | act:sexual
ear_biting | Biting, nibbling, or nipping at a partner's ears during sex, targeting the lobe, tip, or rim. | act:sexual
ear_canal_penetration | Penetration entering the ear canal with a penis, tentacle, or thin object. | act:sexual
ear_licking | Licking inside, around, or along the rim of a partner's ear. | act:sexual
ear_penetration | General tag for any penetration involving the ear, from shallow ear canal insertion to extreme fantasy depth. | act:sexual
edging | Deliberately bringing a partner (or oneself) to the very edge of orgasm and then stopping or slowing stimulation to prevent climax, repeated multiple times. | act:sexual
egg_belly | Belly visibly swollen and distended from eggs carried inside. | act:sexual
egg_bulge | Visible bulge or series of bulges travelling through the body as eggs move through the reproductive tract or intestines toward an exit. | act:sexual
egg_fertilization | A fantasy visual showing the moment sperm meets and fertilises eggs inside the body, often depicted through cross-section or x-ray views. | act:sexual
egg_insertion | Eggs being pushed into a body cavity, either by an ovipositor, by hand, or using specialty egg toys. | act:sexual
egg_laying | Depositing eggs from the body, either biologically or after prior insertion. | act:sexual
egg_laying_anal | Eggs being pushed out through the anus, either biologically in species that lay eggs or after prior anal insertion of egg toys. | act:sexual
egg_laying_oral | Eggs emerging from the mouth, an extreme fantasy scenario where eggs travel up through the body and are expelled orally. | act:sexual
egg_laying_vaginal | Eggs being pushed out through the vagina, either biologically in egg-laying species or after prior vaginal insertion of egg toys. | act:sexual
elbow_deep | Fisting where the arm is inserted up to the elbow, well beyond standard fist depth. | act:sexual
erotic_massage | A massage that begins as or transitions into sexual contact, with hands roaming to erogenous zones and the bodywork building toward arousal. | act:sexual
extreme_penetration | Penetration depicted at anatomically impossible proportions, where the inserted object or organ far exceeds what the body could realistically accommodate. | act:sexual
eye_socket_penetration | Penetration into or through the eye socket, an extreme gore or fantasy tag that is graphically violent and anatomically destructive. | act:sexual
face_fucking | The insertive partner actively thrusts into the receiver's mouth and throat, controlling the pace and depth rather than the receiver performing the oral. | act:sexual
face_grinding | Pressing and rubbing genitals against a partner's face with a grinding motion, smearing arousal and asserting dominance. | act:sexual
face_licking | Licking broadly across a partner's face with a wide, flat tongue stroke, often covering cheek to cheek or chin to forehead. | act:sexual
face_sitting | One partner sits on the other's face, positioning their genitals or anus directly over the receiver's mouth for oral stimulation. | act:sexual
facefuck | Rough oral penetration where the insertive partner controls the thrusting, using the receiver's mouth and throat aggressively. | act:sexual
facesitting | One partner sits on the other's face to receive oral service, positioning their genitals or anus over the mouth. | act:sexual
facial | Ejaculation directed onto a partner's face as the finishing act, coating the cheeks, lips, eyes, or forehead. | act:sexual
fallopian_penetration | Penetration that passes through the uterus and enters a fallopian tube, an extreme fantasy depth well beyond cervical penetration. | act:sexual
feedbag_position | Oral sex position where the receiver's legs rest on the giver's back or shoulders while the giver performs oral from below, face-up. | act:sexual
felching | Using the mouth to suck or slurp ejaculate out of a partner's anus or vagina after internal ejaculation. | act:sexual
fellatio | Oral stimulation of the penis using mouth, lips, and tongue. | act:sexual
fingering | Inserting one or more fingers into a partner's orifice for sexual stimulation. | act:sexual
fingering_partner | One character inserting their fingers into another character's orifice for sexual stimulation. | act:sexual
fingering_self | A character inserting their own fingers into their orifice for solo sexual stimulation. | act:sexual
fisting | Insertion of the entire hand (and sometimes forearm) into an orifice. | act:sexual
floor_sex | Sex on the floor rather than a bed or furniture, often implying urgency or loss of control. | act:sexual
fondling | Caressing, cupping, or gently squeezing a partner's body with intimate or sexual intent, typically targeting breasts, genitals, or buttocks. | act:sexual
food_penetration | Using food items (cucumbers, bananas, carrots, etc.) as improvised dildos for vaginal or anal insertion. | act:sexual
foot_fisting | Inserting an entire foot into an orifice, an extreme stretching act that goes beyond standard fisting due to the rigid ankle and heel. | act:sexual
foot_in_ass | An entire foot inserted into the anus, an extreme stretching variant of foot_fisting. | act:sexual
foot_in_mouth | A foot pushed into or held inside a partner's mouth, stretching the jaw to accommodate the width. | act:sexual
foot_in_pussy | An entire foot inserted into the vagina, an extreme stretching act well beyond standard fisting. | act:sexual
foot_in_urethra | An entire foot inserted into a massively stretched urethra, an extreme fantasy tag that is anatomically impossible. | act:sexual
foot_lick | A character licking another's feet, toes, soles, or arches, usually as worshipful or fetish-focused contact. | act:sexual
foot_worship | Prolonged, reverent attention to a partner's feet through kissing, licking, massaging, and nuzzling the soles, toes, and arches. | act:sexual
footjob | Sexual stimulation of the penis or genitals using the feet and toes. | act:sexual
forced_orgasm | An orgasm deliberately caused against the receiver's will or past their ability to resist, where their body climaxes despite attempts to hold back. | act:sexual
forced_to_penetrate | A character is coerced or physically forced into the insertive role against their will, reversing the typical forced-sex dynamic. | act:sexual
french_kissing | Deep, open-mouthed kissing where both partners' tongues actively meet, intertwine, and explore each other's mouths. | act:sexual
from_behind | General tag for any penetrative sex where the giver enters from behind the receiver, regardless of the specific position (standing, lying, bent over, etc.). | act:sexual
frottage | Non-penetrative sex where partners rub their genitals together for stimulation. | act:sexual
full_body_bulge | A penetration so deep or large that the resulting bulge traces the entire length of the receiver's torso, from pelvis to chest. | act:sexual
fully_clothed_sex | Sexual intercourse where all participants remain completely dressed, with only the minimum exposed through zippers, pulled-aside fabric, or lifted skirts. | act:sexual
gagged_by_cock | A penis filling the mouth so completely that it functions as a gag, muffling vocalisations and preventing the receiver from speaking. | act:sexual
gagging | The involuntary throat reflex triggered when a penis, toy, or fingers reach the back of the mouth or beyond. | act:sexual
gagging_on_cock | Specifically gagging on a penis during deep oral sex, with the throat convulsing and struggling to accommodate the depth or girth. | act:sexual
gaming_while_penetrated | A character trying to play a video game while being penetrated from behind, the distraction the scene's gag. | act:sexual
gaming_while_penetrating | Character is playing a game while actively penetrating another. | act:sexual
gangbang | Multiple partners (typically three or more) sexually engaging with a single recipient, often involving simultaneous penetration, oral, and manual stimulation. | act:sexual
gangbang_creampie | Multiple partners each ejaculating inside the same receiver during a gangbang, resulting in an accumulated internal load from many contributors. | act:sexual
gaping | An orifice remaining visibly open and stretched after penetration has been withdrawn, unable to close back to its normal state. | act:sexual
gaping_anus | The anus remaining stretched open and unable to close after anal penetration, often showing the interior. | act:sexual
gaping_mouth | The mouth held or remaining wide open, either from exhaustion after intense oral sex, in anticipation of receiving, or as an involuntary expression of overwhelm. | act:sexual
gaping_urethra | The urethra remaining visibly dilated and open after extreme sounding or urethral penetration, showing the stretched canal. | act:sexual
gaping_vagina | The vagina remaining stretched open and unable to close after penetration, often with the interior visible. | act:sexual
gentle_sex | Slow, tender intercourse characterised by soft touches, careful movements, and emotional closeness rather than intensity or aggression. | act:sexual
glory_hole | A hole in a wall or partition through which anonymous sexual acts are performed, typically oral sex, without seeing the other person. | act:sexual
goodbye_sex | A final sexual encounter before partners separate, whether temporarily or permanently. | act:sexual
grinding | Rubbing bodies, hips, or genitals together with rhythmic pressure for sexual friction and stimulation. | act:sexual
grope | Aggressive, uninvited grabbing or squeezing of a partner's intimate areas (breasts, genitals, buttocks). | act:sexual
groping | Sexually grabbing, squeezing, or pawing at a partner's body, typically targeting breasts, buttocks, or genitals. | act:sexual
group_masturbation | Multiple participants masturbating simultaneously in the same space, either independently or while watching each other. | act:sexual
growling | A deep, rumbling vocalisation from the chest or throat during sex, conveying possessive arousal or territorial dominance. | act:sexual
guided_penetration | A character uses their hand to physically guide the penis, toy, or other object to the correct position and angle for penetration. | act:sexual
hair_pulling | Grabbing a fistful of a partner's hair and pulling it during sex, typically from behind to arch their back or control their head position. | act:sexual
hand_lick | Licking a partner's hands or fingers, either sensually or to clean them. | act:sexual
handjob | Manual stimulation of a penis using one or both hands, gripping and stroking the shaft rhythmically. | act:sexual
handjob_while_penetrated | A character simultaneously gives a handjob to one partner while being penetrated by another, multitasking between giving and receiving. | act:sexual
handjob_while_penetrating | A character gives a handjob to a third party while actively penetrating someone else, multitasking between two partners at once. | act:sexual
hands_free_blowjob | Oral sex performed entirely with the mouth, no hands touching the shaft or balls. | act:sexual
hands_free_orgasm | An orgasm reached without any direct manual touch on the genitals, achieved purely through penetration, prostate stimulation, nipple play, mental arousal, or other indirect means. | act:sexual
hard_fucking | Vigorous, forceful penetrative sex characterised by powerful thrusts, firm gripping, and an aggressive pace. | act:sexual
hate_sex | Aggressive, passionate sex between partners who actively dislike each other, fuelled by animosity and competitive energy rather than affection. | act:sexual
heart_penetration | Extreme fantasy tag where penetration reaches so deep it passes through to the heart, depicted via cross-section or x-ray view. | act:sexual
heat_sex | Sexual activity driven by a female character being in estrus or heat, a biological cycle of intense fertility and overwhelming sexual need. | act:sexual
hissing | A sharp, breathy vocalisation made by reptilian or feline characters during sex, signalling intense arousal, warning, or territorial aggression. | act:sexual
honeymoon | Sexual encounters set during a post-wedding trip, framed by newlywed excitement and romantic luxury. | act:sexual
horn_stimulation | Stroking, gripping, or licking a character's horns as erogenous zones, treating them as sexually sensitive despite their keratin composition. | act:sexual
hot_dogging | Non-penetrative act where the penis slides back and forth between a partner's buttocks without entering the anus. | act:sexual
howling | A sustained, loud canine vocalisation during intense arousal or at the moment of climax, specific to wolf, dog, and similar species characters. | act:sexual
huge_penetration | Penetration by an object or organ significantly larger than what the body should realistically accommodate, causing extreme stretching and distortion. | act:sexual
intercrural | Non-penetrative sex where the penis thrusts between a partner's closed thighs. | act:sexual
internal_bulge | A visible distension on the outside of the body caused by something large inside pressing against the body wall. | act:sexual
internal_cumshot | A cross-section or x-ray view showing the moment of ejaculation inside the body, depicting the semen being released directly into the internal cavity. | act:sexual
internal_view | An artistic perspective showing the inside of the body during penetration, revealing how the organ or object fits within the internal space. | act:sexual
intestinal_bulge | A visible bulge tracing the path of the intestines as a deeply inserted object or organ pushes through the intestinal tract. | act:sexual
intestinal_penetration | Penetration that passes beyond the rectum and reaches into the intestinal tract, going far deeper than standard anal sex. | act:sexual
irrumatio | Oral sex where the insertive partner actively thrusts into and controls the receiver's throat, rather than the receiver performing the suction. | act:sexual
it'll_never_fit | A comedic or dramatic moment where a character sees the size of what is about to penetrate them and expresses disbelief that it could possibly fit. | act:sexual
kissing | Pressing lips together in an intimate act of affection, desire, or passion. | act:sexual
kneeling_and_blow_position | An oral sex position where the dominant partner kneels while the submissive gives oral from a lower position beneath them. | act:sexual
kneeling_oral_position | An oral sex position where the giver kneels before the standing or sitting recipient. | act:sexual
knot_bulge | A visible round bulge on the receiver's body caused by a swollen canine knot locked inside, pressing against the internal walls. | act:sexual
knot_grinding | Pressing and rubbing a swollen canine knot against an orifice without pushing it inside, teasing the entrance with its girth. | act:sexual
knot_tugging | Pulling or shifting against a canine knot that is already locked inside, stretching the orifice against the swollen bulb without fully dislodging it. | act:sexual
knotting_orgasm | An orgasm triggered by or occurring during the moment a canine knot swells to full size and locks inside, with the intense pressure and fullness pushing one or both partners over the edge. | act:sexual
knotting_tie | The period during which two partners are physically locked together by a swollen canine knot, unable to separate until the knot subsides. | act:sexual
lactation | Breast milk being produced and released during sexual activity, either naturally or through stimulation. | act:sexual
lapdance | An erotic dance performed while straddling or grinding on a seated partner's lap, using hip rolls and body contact to tease and arouse without full sexual contact. | act:sexual
large_penetration | Penetration by an object or organ notably larger than average, causing visible stretch but still within the realm of plausibility. | act:sexual
leg_wrap | Wrapping legs around a partner's waist, hips, or head during sex to pull them closer or lock them in. | act:sexual
licking | Using the tongue on any part of a partner's body for sensual or sexual purposes. | act:sexual
locked | Partners physically unable to separate due to a swollen canine knot or similar locking mechanism holding them joined together. | act:sexual
lung_penetration | Extreme fantasy tag where penetration reaches so deep it enters the lung cavity, typically through the throat or chest. | act:sexual
lying_and_blow_position | An oral sex position where the recipient lies on their back while the giver performs oral from above, leaning over the lying partner. | act:sexual
macro_penetration | Penetration involving a macro-sized character or object that is drastically larger than the recipient, often involving building-sized or vehicle-sized insertions. | act:sexual
makeup_sex | Sex that follows an argument or conflict, driven by the emotional relief of reconciliation and a desire to reconnect physically after tension. | act:sexual
making_out | A prolonged session of passionate kissing, often with wandering hands, grinding, and escalating physical contact that may or may not lead to sex. | act:sexual
marathon_sex | A sexual session that stretches over many hours or an entire night, involving multiple rounds, positions, and orgasms with only brief pauses for rest. | act:sexual
masturbating_while_penetrated | A character stimulates their own genitals while simultaneously being penetrated by a partner, combining self-pleasure with the sensation of being filled. | act:sexual
masturbation | Self-stimulation of one's own genitals for sexual pleasure, either solo or while being watched. | act:sexual
mating_bite | A deliberate bite delivered during the climax or intensity of mating, driven by instinct to claim or bond with the partner. | act:sexual
milking | Extracting fluids from the body through sustained, rhythmic stimulation, whether breast milk via sucking and squeezing or cum via prostate massage and repeated stroking. | act:sexual
mirror_sex | Sexual activity performed in front of a mirror so the participants can watch themselves and each other during the act. | act:sexual
mixed_sandwich_position | A sandwich position where the central participant is penetrated from both sides by partners of different types (e.g., different species, genders, or anatomies). | act:sexual
monster_sex | Sexual activity involving a monster, beast, or monstrous creature as one of the participants. | act:sexual
morning_sex | Sexual activity upon waking, often lazy, warm, and intimate with sleepy partners still in bed. | act:sexual
mouth_hold | Holding an object, clothing, or body part in the mouth, often biting down on fabric, a leash, or a partner's limb. | act:sexual
